[2026-03-10 08:23:50] 감시 시작: session=tmp-codex interval=1s duration=2400s
[2026-03-10 08:23:50] llm=codex model= fallback_llm=glm fallback_model= capture=120 suspect_waits=1s/1s
[2026-03-10 08:23:50] tmux target: tmp-codex
[2026-03-10 08:25:29] base dual capture
[2026-03-10 08:25:30] base dual capture
[2026-03-10 08:25:31] base dual capture
[2026-03-10 08:25:32] base dual capture
[2026-03-10 08:25:33] base dual capture
[2026-03-10 08:25:34] base dual capture
[2026-03-10 08:25:35] base dual capture
[2026-03-10 08:25:36] base dual capture
[2026-03-10 08:25:37] base dual capture
[2026-03-10 08:25:38] base dual capture
[2026-03-10 08:25:39] base dual capture
[2026-03-10 08:25:40] base dual capture
[2026-03-10 08:25:41] base dual capture
[2026-03-10 08:25:42] base dual capture
[2026-03-10 08:25:43] base dual capture
[2026-03-10 08:25:44] base dual capture
[2026-03-10 08:25:45] base dual capture
[2026-03-10 08:25:46] base dual capture
[2026-03-10 08:25:47] base dual capture
[2026-03-10 08:25:48] base dual capture
[2026-03-10 08:25:49] base dual capture
[2026-03-10 08:25:50] base dual capture
[2026-03-10 08:25:51] base dual capture
[2026-03-10 08:25:52] base dual capture
[2026-03-10 08:25:53] base dual capture
[2026-03-10 08:25:54] base dual capture
[2026-03-10 08:25:55] base dual capture
[2026-03-10 08:25:56] base dual capture
[2026-03-10 08:25:57] base dual capture
[2026-03-10 08:25:58] base dual capture
[2026-03-10 08:25:59] base dual capture
[2026-03-10 08:26:00] base dual capture
[2026-03-10 08:26:01] base dual capture
[2026-03-10 08:26:02] base dual capture
[2026-03-10 08:26:03] base dual capture
[2026-03-10 08:26:04] base dual capture
[2026-03-10 08:26:05] base dual capture
[2026-03-10 08:26:06] base dual capture
[2026-03-10 08:26:07] base dual capture
[2026-03-10 08:26:08] base dual capture
[2026-03-10 08:26:09] base dual capture
[2026-03-10 08:26:10] base dual capture
[2026-03-10 08:26:11] base dual capture
[2026-03-10 08:26:12] base dual capture
[2026-03-10 08:26:13] base dual capture
[2026-03-10 08:26:14] base dual capture
[2026-03-10 08:26:15] base dual capture
[2026-03-10 08:26:16] base dual capture
[2026-03-10 08:26:17] base dual capture
[2026-03-10 08:26:18] base dual capture
[2026-03-10 08:26:19] base dual capture
[2026-03-10 08:26:20] base dual capture
[2026-03-10 08:26:21] base dual capture
[2026-03-10 08:26:22] base dual capture
[2026-03-10 08:26:23] base dual capture
[2026-03-10 08:26:24] base dual capture
[2026-03-10 08:26:25] base dual capture
[2026-03-10 08:26:26] base dual capture
[2026-03-10 08:26:27] base dual capture
[2026-03-10 08:26:28] base dual capture
[2026-03-10 08:26:29] base dual capture
[2026-03-10 08:26:30] base dual capture
[2026-03-10 08:26:31] base dual capture
[2026-03-10 08:26:32] base dual capture
[2026-03-10 08:26:33] base dual capture
[2026-03-10 08:26:34] base dual capture
[2026-03-10 08:26:35] base dual capture
[2026-03-10 08:26:36] base dual capture
[2026-03-10 08:26:37] base dual capture
[2026-03-10 08:26:38] base dual capture
[2026-03-10 08:26:39] base dual capture
[2026-03-10 08:26:41] base dual capture
[2026-03-10 08:26:42] base dual capture
[2026-03-10 08:26:43] base dual capture
[2026-03-10 08:26:44] base dual capture
[2026-03-10 08:26:45] base dual capture
[2026-03-10 08:26:46] base dual capture
[2026-03-10 08:26:47] base dual capture
[2026-03-10 08:26:48] base dual capture
[2026-03-10 08:26:49] base dual capture
[2026-03-10 08:26:50] base dual capture
[2026-03-10 08:26:51] base dual capture
[2026-03-10 08:26:52] base dual capture
[2026-03-10 08:26:53] base dual capture
[2026-03-10 08:26:54] base dual capture
[2026-03-10 08:26:55] base dual capture
[2026-03-10 08:26:56] base dual capture
[2026-03-10 08:26:57] base dual capture
[2026-03-10 08:26:58] base dual capture
[2026-03-10 08:26:59] base dual capture
[2026-03-10 08:27:00] base dual capture
[2026-03-10 08:27:01] base dual capture
[2026-03-10 08:27:02] base dual capture
[2026-03-10 08:27:03] base dual capture
[2026-03-10 08:27:04] base dual capture
[2026-03-10 08:27:05] base dual capture
[2026-03-10 08:27:06] base dual capture
[2026-03-10 08:27:07] base dual capture
[2026-03-10 08:27:08] base dual capture
[2026-03-10 08:27:09] base dual capture
[2026-03-10 08:27:10] base dual capture
[2026-03-10 08:27:11] base dual capture
[2026-03-10 08:27:12] base dual capture
[2026-03-10 08:27:13] base dual capture
[2026-03-10 08:27:14] base dual capture
[2026-03-10 08:27:15] base dual capture
[2026-03-10 08:27:16] base dual capture
[2026-03-10 08:27:17] base dual capture
[2026-03-10 08:27:18] base dual capture
[2026-03-10 08:27:19] base dual capture
[2026-03-10 08:27:20] base dual capture
[2026-03-10 08:27:21] base dual capture
[2026-03-10 08:27:22] base dual capture
[2026-03-10 08:27:23] base dual capture
[2026-03-10 08:27:24] base dual capture
[2026-03-10 08:27:25] base dual capture
[2026-03-10 08:27:26] base dual capture
[2026-03-10 08:27:27] base dual capture
[2026-03-10 08:27:28] base dual capture
[2026-03-10 08:27:29] base dual capture
[2026-03-10 08:27:30] base dual capture
[2026-03-10 08:27:31] base dual capture
[2026-03-10 08:27:32] base dual capture
[2026-03-10 08:27:33] base dual capture
[2026-03-10 08:27:34] base dual capture
[2026-03-10 08:27:35] base dual capture
[2026-03-10 08:27:36] base dual capture
[2026-03-10 08:27:37] base dual capture
[2026-03-10 08:27:38] base dual capture
[2026-03-10 08:27:39] base dual capture
[2026-03-10 08:27:40] base dual capture
[2026-03-10 08:27:41] base dual capture
[2026-03-10 08:27:42] base dual capture
[2026-03-10 08:27:43] base dual capture
[2026-03-10 08:27:44] base dual capture
[2026-03-10 08:27:45] base dual capture
[2026-03-10 08:27:46] base dual capture
[2026-03-10 08:27:47] base dual capture
[2026-03-10 08:27:48] base dual capture
[2026-03-10 08:27:49] base dual capture
[2026-03-10 08:27:50] base dual capture
[2026-03-10 08:27:51] base dual capture
[2026-03-10 08:27:53] base dual capture
[2026-03-10 08:27:54] base dual capture
[2026-03-10 08:27:55] base dual capture
[2026-03-10 08:27:56] base dual capture
[2026-03-10 08:27:57] base dual capture
[2026-03-10 08:27:58] base dual capture
[2026-03-10 08:27:59] base dual capture
[2026-03-10 08:28:00] base dual capture
[2026-03-10 08:28:01] base dual capture
[2026-03-10 08:28:02] base dual capture
[2026-03-10 08:28:03] base dual capture
[2026-03-10 08:28:04] base dual capture
